,agglomerative_clustering_c2,agglomerative_clustering_c3,agglomerative_clustering_c4,birch_c2,birch_c3,birch_c4,kmeans_c2,kmeans_c3,kmeans_c4,minibatch_kmeans_c2,minibatch_kmeans_c3,minibatch_kmeans_c4,spectral_clustering_c2,spectral_clustering_c3,spectral_clustering_c4,mean_shift,dbscan,optics,suspected_bot
JerryFarray,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,41,-1
Jerem7538,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Jeperdtout,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,57,-1
Jejoux,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Jejewin25,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
JejeD65,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
jeffou93,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Jeansouris,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
JeanMarcLee,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
jeangab87,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Jean-Noliv,0,0,1,1,0,1,1,1,2,1,1,3,0,0,0,0,0,33,-1
JCJ2512,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
TodoAlCentro,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Jboby10,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Javed83310,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Jataganer,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
JasM599,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
jarod64,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Janozcour,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
jandrico,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
TomiOueD,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Tomdec13,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,67,-1
tomasolano,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,4,-1,-1,-1
Tom000000000,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,51,-1
Tolosdias,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,18,-1
Toinuux,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Flodel35,0,0,1,1,0,1,1,0,2,1,1,3,0,0,0,0,0,-1,-1
Flo88200,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
flo60123,0,2,2,1,0,1,0,0,2,0,2,0,1,0,0,0,0,-1,-1
Bagsw,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Baptouuuuu,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Baptcaille,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
